"item_no","brief_description"
"3283","COMBINATION SCREW"
"3284","1/4-28X5/8 SHCS"
"3288","HOLDER"
"3289","1"" HYDRAULIC CHUCK"
"3290","HOLDER"
"3295","HOLDER"
"3296","BORING BAR"
"3299","VALVE PALLET"
"330","EDP #09915"
"3300","CYL 1/2-20 UNF BABY BRACKET"
"3302","BABY BRACKET- 500 LB MISC"
"3303","HOLDER"
"3308","COLLET"
"3311","REFRACTOMETER"
"3312","CUTTER"
"3313","SPLINED COLLET FOR FORD FLANGE"
"3314","INSERT  (replaces IC9025)"
"3315","38.36.71.502.69.5.9"
"3327","CYL 1"" ER32/50E"
"3329","INSERT SCREW"
"3330","C02205-T07P"
"3342","DCLNR-16-4D"
"3346","COLLET"
"3351","2.5"" SQUARE SHOULDER FACE MILL"
"3355","KIPR070SD2645"
"3356","CV40EM075375"
"3359","18 MM HYD. CHUCK"
"3362","100TG0750"
"3384","REPLACES KC9325"
"3385","9/16"" CARBIDE DRILL"
"3387","PARLEC-C50-15SM4 CAT50 SHELL MILL HOLDER 4"" PROJ"
"3395","REPLACES N0057510"
"3396","EDP #35226"
"3397","6"" PROJECTION END MILL HOLDER"
"3398","75TG140M"
"3407","1.25"" HYD CHUCK"
"3411","1"" ARBOR 2.06"" PROJECTION"
"3414","S1011"
"3415","S1012"
"3417","RMC 5513 020-01"
"3422","STFCR 12CA-16-M"
"3423","CLAMP LEVER"
"3428","CPGW2152F KD100"
"343","EDP #31392"
"3430","CCMT21.52LF KCK15"
"3437","ADJUSTING SCREW FOR E-Z BURR BODY"
"3438","LOCKING SCREW FOR EZBURR BODY"
"3443","MCKNR 165C"
"3445","DS1646638"
"3446","DS1638371"
"3447","ALLIED DRILL BODY"
"3456","11mm EZ Burr"
"3458","EDP 69566  (REPLACED TK 2000)"
"3459","Drill Body"
"3460","Tool Body"
"3461","Inserts"
"3462","Collet"
"3463","25.4 Quad Drill"
"3464","Insert Screw"
"3465","11mm Spotface Tool"
"3466",".7500 Schunk CAT40"
"3468","1/8-27 Tap Collet"
"3469","2"" HeliMill Inserts EDP# 05973"
"3475","434.9-836"
"3476","EndMill Holder"
"3477","Insert Screw"
"3480","EDP#61186 MAF 61186  Chamfer Tool"
"3481","18mm Collet"
"3482","CAT40 14MM"
"3483","Tap Collet 1017023"
"3484","Collet"
"3486","A-2107-0070"
"3487","A-5003-1358"
"3489","ROUGH BORE FOR COPELAND"
"349","EDP 34800"
"3490","replaced KCK15B"
"3491","RMC 5513 020-18"
"3493","ROUGH BORE COPELAND"
"3494","ROUGH BORE COPELAND"
"3495","KRCSCFPR063B"
"3496","KRCSCFPR061B"
"3497","1/2-13 TAP DRILL 10.72MM DIA 14.99MM LOC"
"3500","1/2-13 TAP"
"3502","10 X 24 TAP"
"3504","9 MM DRILL"
"3505","TAP COLLET"
"3506","3/8"" REAMER"
"3507","75TG0312"
"3508","CAT50-C1.1/4-90"
"3509","TAP COLLET"
"3510","17 MM SPADE BLADE"
"3512","12 MM SUPER SLIM HYD. CHUCK"
"3513","3.8 MM DRILL"
"3514","TAP COLLET FOR #10"
"3516","0.096"" DRILL"
"3517","50TG0109"
"3518","CV50TG050479G"
"3519","0.25"" DRILL"
"3520","75TGC0266"
"3521","5/16-18 TAP DRILL 6.53MM DIA 17.78MM LOC"
"3522","TAP DRILL FOR 3/8-16 7.92MM DIA 21.34MM LOC"
"3523","3/8-18 TAP"
"3524","DRILL FOR 3/8-18 NPTF 14.76MM DIA  35.43MM LOC"
"3525","75TGSTC037"
"3526","COLLET"
"3531","CV50EM0751000"
"3533","TCMT2152MF KCK20"
"3534","3/8-18 NPTF"
"3536","CV50TG0751000G"
"3537","0.279 DRILL"
"3541","INDEXABLE BORING TOOL 3/4-14 NPSF"
"3542","12.76MM DIA  19.05MM LOC SOLID CARBIDE G-DRILL"
"3546","5513 020-19"
"3548","ER40 20 MM TAP COLLET"
"3549","ER40 COLLET CHUCK"
"3550","LCMX040308-53 1020"
"3551","25.4MM DIA WITH 28.575MM DIA CHAMFER"
"3552","5513 020-20"
"3553","TAP DRILL FOR 1/4-20 5.11MM DIA 13.72MM LOC"
"3554","1/4-20 TAP"
"3555","75TGSTC025"
"3556","CT-53374  REV 0"
"3557","PSKNR 12CA-12"
"3559","PTFNR 12CA-16"
"3560","PTTNR 12CA-16"
"3561","PTSNR 12CA-16"
"3562","438.3-832M"
"3563","438.3-830"
"3564","REPLACED"
"3565","TNMG332UN KCK20"
"3566","CT-53393  REV 0"
"3568","MSSNR12CA4C"
"3570","MTGNR12CA3C"
"3572","NLC-33"
"3573","CT-53382  REV 0"
"3574","TAP DRILL FOR 5/16-18 6.53MM DIA 16.79MM LOC"
"3575","CT-53375  REV 0"
"3577","75TGSTC031"
"3578","TAP DRILL FOR 3/8-16 7.92MM DIA 26.42MM LOC"
"3580","12.7MM DIA 71.56MM LOC SOLID CARBIDE G-DRILL"
"3582","TAP DRILL FOR 1/8-27 NPTF 8.33MM DIA 19.05MM LOC"
"3583","1/8-27 NPTF TAP"
"3584","0.0995 DRILL"
"3585","75TG0094"
"3587","TAP DRILL FOR 1/4-18 NPTF  10.72MM DIA 25.4MM LOC"
"3588","1/4-18 NPTF"
"3589","CV50TG075579G"
"359","EDP #34798"
"3590","MSC# 01173475"
"3591","MILLING CHUCK SLEEVE 1.25 TO 0.75"
"3592","0.75"" BOTTOM GROUND END MILL"
"3594","SDMW 080305TN IN2015"
"3596","CAT-50-1.000-9"
"3597","#2 CENTER DRILL"
"3598","3/16"""
"3599","MICRO ADJ. CARTRIDGE"
"3600","WS306"
"3601","SCREW"
"3603","(SE02-82)"
"3606","20 MM COLLET"
"3607","75TG0750"
"3611","5513 020-35"
"3612","CV40BSMC075138"
"3616","5"" DISC MILL"
"3622","SEFAS HOLDER"
"3623","SEFAS CLAMP"
"3624","M12 TAP COLLET"
"3625","INSERT SCREW EDP 00813"
"3631","TG100-0953"
"3634","CLAMP FOR SEFAS INSERTS"
"3640","KRCSCFPR062A"
"3644","25 MM HYD. CHUCK"
"3645","40MM END MILL HOLDER"
"3656","4"" FACE MILL"
"3661","MSC Industrial Supply# 03501475"
"3662","MSC Industrial Supply#84908334"
"3665","CV50-EM8.00-1000"
"3666","1"" 5 FL END MILL"
"3667","32 MM MILLING CHUCK"
"3669","CAT50-C1.1/4-165"
"3670","REPLACED KR32SVS00B072M"
"3671","KRCSCFPR063L"
"3673","MS-2006"
"3674","MS-2005"
"3675","CV50TG075279G"
"3676","1789056"
"3677","HEC750S4500 KC610M"
"3679","100TGC140M"
"3680","100TGC180M"
"3681","100TGC100M"
"3682","INSERT SCREW"
"3683","replaces IN DD15 5812008"
"369","SCMT432LFKC9120"
"3696","SHIM SCREW"
"3697","5322 234-01"
"3698","CLAMP ASSEMBLY"
"370","SCMT432LFKC9125"
"3700","CM72LP"
"3718","A16DCLNR4  REPLACEMENT"
"372","SCMT3252LF KCP30B"
"3722","RMC CK-7"
"3723","STC-9"
"3725","LP-59"
"3730","STC-20"
"3738","SSKCR-12CA-12"
"3740","CT-60125 REV 0"
"3741","CV50SM200600"
"3745","50TGST090070M"
"3747","75TGC060M"
"3748","75TGC200M"
"3752","SE03-72"
"378935","10 X 3-1/8 TORX"
"3793","20mm Hyd. Chuck"
"3794","6mm Hyd. Chuck"
"3798","DANA MARION DRILL YOKE"
"3805","INSERT SCREW"
"3822","RIGIBORE CARTRIDGE"
"3824","LP-53"
"3827","M12 X 1.75 BILZ TAP ADAPTOR"
"3828","BT30ER32070M"
"3829","32ER140M"
"383","EDP #09909"
"3834","ER25-0625"
"3837","5/16-24X1 SHCS"
"3838","1/4-28X3/4 SHCS"
"3841","KCN1622MR"
"3842","MS-1492"
"3844","MS-1493"
"3845","BUSCHE PRINT ON FILE"
"3846","KLS-15"
"3847","KS1473M1"
"3848","KCN1622ML"
"3849","X01364"
"3851","KRCSCFPR063A"
"3852","25 MM HYD CHUCK"
"3856","20 MM 152MM PROJECTION"
"3857","32ER190M"
"3858","100TGC0875"
"3859","100TGST075"
"3864","NL-44"
"3866","XNS-59"
"3871","75TGSTC056"
"3872","KRCSCFPR063C"
"3877","7/8 TAP COLLET"
"3878","1"" TAP COLLET"
"3880","N0057571"
"3881","ICSN-433"
"3882","RMC KL 46"
"3883","RMC CK 20"
"3884","SS100ER20700"
"3886","MDQNR 164D"
"3887","IDSN-443"
"3889","MDJNR 164D"
"3890","CS-110"
"3892","Collet"
"3893","SM50-160-10"
"3895","TOOLHOLDER"
"3902","D-111290  REV A"
"3903","3"" FACE MILL"
"3904","CAT50-SM100-0600"
"3905","75TGCHP0750"
"3906","CT-50651"
"3907","CAT50-1.000-12"
"3908","75TGCHP180M"
"3914","CV50TG100300"
"3915","8mm Collet"
"3924","Axial Adj. Screw"
"3926","Collet"
"3927","A32MCLNR4"
"3930","NL-46"
"3934","CL-20"
"3935","XNS-47"
"3949","Insert Mill"
"3953","Collet"
"3954","HP Collet"
"3962","Insert Screw"
"3964","SCREW TORX PLUS"
"3965","MAKE FROM CV40BB400600 PRINT ON FILE"
"3966","EDP# 16739"
"397","INSERT"
"3975","CV40ZEM100175"
"398","INSERT"
"3980","Tool Adapter"
"3998","Face Mill"
"3999","Shell Mill Holder"
"4002","HP Collet/MSC Industrial Supply# 03501301"
"4003","M8 Tap Collet"
"4005","6mm HP Collet"
"4011","Hyd. Chuck"
"4012","Hyd. Chuck"
"4017","KM50-RBHT-87-120F"
"4021","CV50BKM0236"
"4022","B87-RBHT-16LF"
"4025","1121105"
"4030","416.1-834"
"4032","KVNS021580D"
"4033","PRINT ON FILE"
"4039","R217.69-01.50-3-12L3A"
"4041","HOLDER"
"4049","FOR COFA TOOL"
"4054","FAK-0809084K01"
"4056","TFLT15T308N IN1530"
"4057","MSC Industrial Supply#84905611"
"4059","7716C-037"
"4064","CT-60179  REV 0"
"4065","2.284 ROUGH BORE DIA. 2.467DIA CHAMFER"
"4066","CT-60181  REV A"
"4067","CT-60182  REV A"
"4068","CT-53517-A  REV A"
"4069","2.620 DIA 14.710 LOC CAT 50 BORING BAR"
"4070","2.375 DIA HOLLOW MILL 8.743 LOC CAT50"
"4073","CARTRIDGE"
"4075","SCTPR08CA06"
"4080","Clamp Stud"
"4081","Clamp Screw"
"4082","M16 x 1.5 Tap"
"4086","Collet/MSC#03843000"
"4088","50TGST031  / MSC Industrial Supply# 01173764"
"4090","Dynasty End Mill"
"4093","Boring Tool"
"4097","Spotface tool"
"4102","Tap Holder"
"4106","32ER0500"
"4108","Cartridge"
"4111","Insert Screw"
"4112","Face Mill Holder"
"4115","EndMill Holder"
"4118","Tool Holder"
"412","SHLT140508N-FS IN2005"
"4121","Collet"
"4122","Tap Adaptor"
"4123","Tap Adaptor  5/16 TAP ADAPTOR W/SET SCREW"
"4124","Spotface tool"
"4125","Insert"
"4127","DA Collet"
"4128","DA Collet Holder"
"4130","Insert Screws"
"4133","Sefas Holder"
"4134","360.653"
"4135","Adjusting Screw"
"4136","Tap Adapter"
"4137","Endmill Holder"
"4138","152N-0100"
"4139","Insert Screw  (SE01-19)"
"414","SHLT110408N-PH IN2005"
"4141","#16 CENTER DRILL"
"4154","CAPTO TOOLBLOCK C4 SIZE"
"4157","EDP 46572"
"4159","3212 012-310"
"4160","A16TMCLNR4"
"4161","RMC KL 44"
"4162","STC-11"
"4171","12 MM TO 8 MM SLEEVE"
"4172","75TG0375"
"4174","100TG holder"
"4177","MS-1970"
"418","EDP #77371"
"4182","XNS-48"
"4184","CSN-432"
"4185","MS-1162"
"4190","RMC CK-6"
"4191","RMC KL34L"
"4192","STC-5"
"4195","50TGST050"
"4199","31/64"" COLLET"
"420","SPEB322KC520M"
"4200","Wrench"
"421","SPEB322PA9M"
"4212","CENTER ARBOR"
"4216","SM-41"
"4218","S111"
"422","LOVEJOY INSERT"
"4225","75TGST012P"
"4226","75TGST037P"
"4228","75TGST043"
"4229","COLLET"
"4231","75TGCHP0625"
"4232","75TGST050P"
"4234","75TGST075"
"4235","ColletM/MSC Industrial Supply# 84917327"
"4236","75TGHP060M"
"4237","75TG090M"
"4238","75TGCHP200M"
"4239","75TG100M"
"4240","75TG120M"
"4241","75TGHP100M"
"4245","50TGHP080M"
"4246","COLLET"
"4247","50TG090M"
"4249","50TGHP120M"
"4250","50TGC120M"
"4251","50TGC0188"
"4258","50TG0500"
"4260","MSC Industrial Supply# 00464347"
"4261","50TGST043"
"4262","50TGST056"
"4264","50TGST060049M"
"4265","COLLET"
"4266","75TGST087"
"4268","75TGCHP100M"
"4270","73198459"
"4272","Collet"
"4273","75TGC0516"
"4274","75TGST056"
"4276","19/32 Collet"
"428","SNMG432RP KCK20"
"4282","75TGC0594"
"4288","100TGCHP0750"
"4290","100TGCHP0875"
"4293","100TGC250M"
"4294","100TGST120090M"
"430","EDP #77376"
"4300","100TGCHP200M"
"4302","MSC# 03265923"
"4303","Collet"
"4305","100TGST160120M"
"4310","Collet"
"4311","TG100-0125"
"4313","Collet"
"4316","100TGSTC087"
"4322","100TGST180145M"
"4327","Collet"
"4328","100TGC120M"
"4329","100TGCHP120M"
"433","EDP #77373"
"4332","100TG080M / MSC Industrial Supply# 00286112"
"4333","Collet"
"4335","Collet"
"4338","100TGC0438"
"4342","Collet"
"4347","ER 16 TAP COLLET"
"4350","WORKS FOR 3/16 OR .188"
"4352","3/16 OR .188"
"4356","25ER090M"
"4360","32ER120M"
"4372","5/16 TAP COLLET"
"4373","1/4 TAP COLLET    (TER32-255)"
"4405","Insert Screw"
"4437","20 MM TO 14 MM HYD. SLEEVE"
"4438","1/2"" TO 8MM HYDRUALIC SLEEVE"
"4439","20 MM TO 8 MM HYD. SLEEVE"
"444","EDP #5140195"
"4443","20 MM TO 6 MM HYD. SLEEVE"
"4446","20 MM TO 16 MM HYD. SLEEVE"
"4449","MILLING CHUCK SLEEVE 1.25 TO 10 mm"
"4467","SS100TG050719"
"4471","SS100ER25750"
"4480","SQUARE SHOULDER"
"4489","5/16-18 GH5 4FL BOTTOMING TAP"
"4490","3/8-16 GH5 4FL BOTTOMING TAP"
"4491","1/2-14 NPTF -4 FLUTE NON-COOLANT 5 IN OAL; COATED"
"4499","MSKNR12CA-4"
"450","EDP #15893"
"4509","CV50BHC100462"
"4514","#8-32X1/2 LHCS"
"4537","C-36041-1"
"4546","BIMBA AIR CYLINDER"
"4553","1.656 REAMER"
"4554","DRILL FOR 3/8-16 TAP 7.92MM DIA 23.6MM LOC"
"4555","12.7MM DIA 99.2MM LOC SOLID CARBIDE G-DRILL"
"4556","1/2"" CARBID ENDMILL TIALN COATED"
"4560","FS-1030"
"4562","FR592-M"
"4563","WIPER CARTRIDGE"
"4564","FS247"
"4565","FS303"
"4566","HOLDER"
"4567","KOMET HOLDER"
"4570","INSERT SCREW"
"4572","M10 X 1.5- 8131 SERIES"
"4573","CAT-50-.750-12"
"4575","ER16 COLLET NUT FOR COOLANT DISC"
"4578","CDER16080M"
"4580","SPECIAL BF STYLE INSERT FOR GT5 C'BORE"
"4581","SPECIAL BF STYLE DRILL FOR GT5 C'BORE"
"4582","192.432"
"4583","12.3MM DRILL"
"4584","SPECIAL BF STYLE INSERT FOR GT5 C'BORE"
"4586","5MT QUAD BEARING LIVE CENTER"
"4589","10.5MM DIA. 35MM LENGTH OF STEP"
"459","REPLACES W29 24130.0484 BK84"
"4593","14.35MM DIA. 44MM PROJECTION"
"4594","75TGST062"
"4595","3.6 MM DRILL"
"4596","BORING HEAD"
"4597","5.34050-028300"
"4598","3.77000R052V"
"4599","3.77000R053V"
"4600","192.592"
"4601","SS03M012"
"4602","CV50BWD50M343"
"4605","SPECIAL BF STYLE INSERT FOR GT5 C'BORE"
"4615","ROMICRON EXTENSION"
"4621","RITEN LIVE CENTER"
"4628","18MM 3FL ENDMILL"
"4637","25.40MM DIA INEXABLE DRILL  97.40 LOC 25.4MM SHANK"
"4639","6"" 3/8 NPT TAP EXTENSION"
"4645","SPRING LOADED BASEBALL BAT STYLE PIN"
"4648","SPHERICAL RADIUS LOCATOR BUTTON"
"4650","SCREW REST BUTTON"
"4651","CL-6-SRB"
"4653","SPRING LOCATING PIN"
"4654","SPRING LOCATING PIN"
"4655","SPRING LOCATING PIN"
"4656","SPRING LOCATING PIN"
"4657","REST BUTTON"
"4658","ADJUSTABLE LOCATING BUTTON 3/8-24"
"4659","REST BUTTON"
"466","EDP #31621"
"4660","REST BUTTON"
"4662","SPHERICAL RADIUS LOCATOR BUTTON"
"4663","SCREW REST PAD"
"4664","ADJUSTABLE LOCATING BUTTON 1/4-28"
"4665","SCREW REST PAD"
"4666","CONTACT BOLT"
"4667","CONTACT BOLT"
"4668","GRIPPER CONTACT BOLT"
"4669","GRIPPER CONTACT BOLT"
"4670","ROUND GRIPPER"
"4671","GRIPPER CONTACT BOLT"
"4672","SQUARE GRIPPER"
"4673","SQUARE GRIPPER"
"4674","POINTED GRIPPER CONTACT BOLT"
"4675","SCREW REST BUTTON"
"4676","T NUT"
"4677","TOOLING CLAMP"
"4679","8"" LOVEJOY"
"4682","SQUARE GRIPPER"
"4683","ROUND GRIPPERBLIND TAPPED HOLE #8-32"
"4684","ANGLED GRIPPER TAPPED HOLE #10-32"
"4686","ROUND GRIPPER"
"4688","MSKNR16CA4C"
"4692","Cartridge"
"4702","TOP NOTCH TOOLHOLDER"
"4703","CM73LP"
"4704","S2112"
"4705","TOOLHOLDER"
"4711","A12SCLPR3"
"4712","CORE DRILL FOR FORD COMPANION FLANGE"
"4717","SSKCR10CA-09"
"4718","STTCR-12CA-16M"
"4720","2.2548 SPEEDGRIP COLLET SEALED"
"4736","SPRING LOCATING PIN"
"4750","JAM NUT"
"4752","SPRING PLUNGER 3/8-16"
"4753","SPRING PLUNGER 1/2-13"
"4754","SPRING STOP CONTACT BUTTON"
"4755","SPRING STOP CONTACT BUTTON"
"4756","JIG REST BUTTON"
"4757","CONTACT BOLT"
"4758","SPRING STOP CONTACT BUTTON"
"4759","SPRING PLUNGER 3/8-16 (SHORT)"
